Engagement no,Student ID,Username,Title,Given names,Family name,Email,Date of birth,Full/part time,Registration status,Qualification awarded,Class awarded,Faculty,Student type,Programme name,Degree intention,Degree intention (code),Last School
643768366/1,643768366,rd196,Miss,Rose,de la Rue,rd196+AEA-st+AC0-andrews.ac.uk,04+AC0-Dec+AC0-94,Full+AC0-time,Registered,,,Science,P,MSc Advanced Computer Science,MSc Advanced Computer Science,USHFCSCSCSC,Hogwarts High School
446841886/1,446841886,cm830,Mr,Callum,McDonald,cm830+AEA-st+AC0-andrews.ac.uk,26+AC0-Aug+AC0-94,Full+AC0-time,Registered,,,Science,P,MSc Artificial Intelligence,MSc Artificial Intelligence,USHFCSCSCSC,Advanced Academy Grammar School
617843849/1,617843849,or360,Miss,Ophelia,Rahman,or360+AEA-st+AC0-andrews.ac.uk,25+AC0-Apr+AC0-88,Full+AC0-time,Registered,,,Science,P,MSc Data Intensive Analysis,MSc Data Intensive Analysis,USHFCSCSCSC,Advanced Academy High School
931598689/1,931598689,th577,Mr,Terry,Hodgekin,th577+AEA-st+AC0-andrews.ac.uk,27+AC0-Mar+AC0-81,Full+AC0-time,Registered,,,Science,P,MSc Software Engineering,MSc Software Engineering,USHFCSCSCSC,Sunnyvale International School
694541158/1,694541158,nj639,Mr,Norm,Jordan,nj639+AEA-st+AC0-andrews.ac.uk,15+AC0-Mar+AC0-84,Full+AC0-time,Registered,,,Science,P,MSc Software Engineering,MSc Software Engineering,USHFCSCSCSC,Rock'n'Roll International School
255927849/1,255927849,st797,Mr,Sven,Tamagochi,st797+AEA-st+AC0-andrews.ac.uk,16+AC0-undefined+AC0-1987,Full+AC0-time,Registered,,,Science,P,MSc Human Computer Interaction,MSc Human Computer Interaction,USHFCSCSCSC,Sunnyvale International School
622549286/1,622549286,rh392,Mr,Rory,Henderson,rh392+AEA-st+AC0-andrews.ac.uk,15+AC0-Feb+AC0-88,Full+AC0-time,Registered,,,Science,P,MSc Management and IT,MSc Management and IT,USHFCSCSCSC,Shanghai High School
451599133/1,451599133,jz582,Mr,Julian,Zhao,jz582+AEA-st+AC0-andrews.ac.uk,13+AC0-Aug+AC0-99,Full+AC0-time,Registered,,,Science,P,MSc Artificial Intelligence,MSc Artificial Intelligence,USHFCSCSCSC,Durban Secondary School
513794875/1,513794875,ij577,Miss,Ingrid,Jordan,ij577+AEA-st+AC0-andrews.ac.uk,17+AC0-Jun+AC0-91,Full+AC0-time,Registered,,,Science,P,MSc Human Computer Interaction,MSc Human Computer Interaction,USHFCSCSCSC,Organic International School
399269235/1,399269235,wj184,Mr,Will,Jordan,wj184+AEA-st+AC0-andrews.ac.uk,11+AC0-Dec+AC0-96,Full+AC0-time,Registered,,,Science,P,MSc Software Engineering,MSc Software Engineering,USHFCSCSCSC,Caramba Secondary School
126964489/1,126964489,lz154,Miss,Lauren,Zhao,lz154+AEA-st+AC0-andrews.ac.uk,18+AC0-Apr+AC0-00,Full+AC0-time,Registered,,,Science,P,MSc Human Computer Interaction,MSc Human Computer Interaction,USHFCSCSCSC,Madras High School
826137538/1,826137538,rh775,Mr,Ronald,Hodgekin,rh775+AEA-st+AC0-andrews.ac.uk,22+AC0-Dec+AC0-00,Full+AC0-time,Registered,,,Science,P,MSc Advanced Computer Science,MSc Advanced Computer Science,USHFCSCSCSC,Hogwarts High School
154189663/1,154189663,gh392,Mr,George,Henderson,gh392+AEA-st+AC0-andrews.ac.uk,1+AC0-undefined+AC0-1982,Full+AC0-time,Registered,,,Science,P,MSc Management and IT,MSc Management and IT,USHFCSCSCSC,Rome Secondary School
981691421/1,981691421,jt615,Mr,John,Trapp,jt615+AEA-st+AC0-andrews.ac.uk,01+AC0-Nov+AC0-93,Full+AC0-time,Registered,,,Science,P,MSc Advanced Computer Science,MSc Advanced Computer Science,USHFCSCSCSC,Advanced Academy College
474475769/1,474475769,sj692,Mr,Sven,Jordan,sj692+AEA-st+AC0-andrews.ac.uk,08+AC0-Dec+AC0-88,Full+AC0-time,Registered,,,Science,P,MSc Information Technology,MSc Information Technology,USHFCSCSCSC,Midvale International School
