Engagement no,Staff ID,Username,Title,Given names,Family name,Email
831863996/1,831863996,rs145,Mr,Robert,Sterling,rs145@st-andrews.ac.uk
595645765/1,595645765,jr450,Mr,Jing,Roberts,jr450@st-andrews.ac.uk
384273429/1,384273429,ms113,Mr,Miles,Scholes,ms113@st-andrews.ac.uk
376129722/1,376129722,jh147,Miss,Jane,Hazelnut,jh147@st-andrews.ac.uk
471346184/1,471346184,db491,Miss,Dorothy,Bellafonte,db491@st-andrews.ac.uk
877477128/1,877477128,ri460,Mr,Ronald,Inzhagi,ri460@st-andrews.ac.uk
382518667/1,382518667,cb237,Mr,Callum,Baresi,cb237@st-andrews.ac.uk
317547555/1,317547555,dg601,Miss,Donna,Gerrard,dg601@st-andrews.ac.uk
234896662/1,234896662,as511,Mr,Abdul,Sterling,as511@st-andrews.ac.uk
926773214/1,926773214,er420,Mr,Elvis,Rahman,er420@st-andrews.ac.uk
917838165/1,917838165,rm438,Mr,Rob,May,rm438@st-andrews.ac.uk
934785119/1,934785119,sz605,Miss,Sarah,Zhao,sz605@st-andrews.ac.uk
633561695/1,633561695,si646,Miss,Sarah,Inzhagi,si646@st-andrews.ac.uk
633884558/1,633884558,jh505,Miss,Juanita,Honda,jh505@st-andrews.ac.uk
378886543/1,378886543,ah492,Mr,Alex,Henderson,ah492@st-andrews.ac.uk
